ID,Species,G,C
HN2888240.2,C,24.49049143,25.13611377
GC9829430.4,C,27.39812715,26.55868203
GH5196060.4,B,30.57964354,28.54216883
HH1686380.4,A,21.88874515,19.4041554
GG4335620.2,B,31.89521539,31.03973989
HG9120010.2,B,24.81614337,22.25793725
HH4948020.4,A,25.24316152,23.71816709
QG7210060.2,B,24.9873761,23.37435943
HC4220530.4,B,18.75158846,18.36065281
GH9001040.1,C,20.30691549,19.83311604
CG6385510.4,A,21.14511187,19.138669
GQ2723170.1,A,19.52991966,18.03030813
NH4409880.2,C,27.64444907,27.34782217
CQ7948760.3,B,26.71065333,25.17820568
NC4221530.4,C,25.46388313,24.16072359
CN4958720.4,C,26.83790401,27.36068534
NH7056750.3,C,25.88985435,23.90413057
HQ7862380.4,B,33.45567339,31.94775622
GC3615930.3,C,23.72025453,22.74356766
HC6636920.1,B,31.91628369,30.83427236
QC7624490.1,B,26.27505843,24.65742262
NC6050370.2,C,26.31386344,24.72466317
HG7148420.4,A,23.3461151,22.01654849
NC4098240.2,C,25.18242115,24.02126858
NC8969970.3,A,23.14804711,21.69149178
GC4860920.3,B,26.172677,24.39386349
NC9503890.4,B,23.90402548,23.58570517
HC7761070.3,B,28.02393755,27.03375133
NC8094090.3,C,29.2360301,29.05389798
GN8077520.1,C,20.39840059,20.27775653
HN5217190.1,C,28.86128076,26.20009843
NG7763280.4,A,30.66666504,29.15530852
GC7928980.1,A,29.58395319,27.83339495
GC9706250.3,B,20.40914305,20.50794357
QN6222830.3,C,28.69512873,28.12824761
CG1027170.3,C,28.55884019,25.82695649
NC7389960.1,A,23.62745867,21.93996482
HN9799200.1,A,21.90896486,19.9064791
NN6411580.1,A,24.08431463,23.06296476
GN8832870.2,A,23.07361236,23.15770243
GN9978700.3,C,23.56600528,23.08554958
CN5036870.4,C,24.15148832,22.85140582
NH4490970.1,A,26.97907479,26.0436229
GQ1902810.1,C,19.55818191,19.52527951
QQ9337450.3,A,32.79306394,30.30187312
QC7740110.3,B,31.7406053,29.56738037
NH3649650.2,C,24.31171635,21.6405747
QG1003060.2,C,25.18213008,22.39559683
GH8325580.1,C,24.45657792,24.07659215
CG6302670.2,C,17.40980937,14.81746904
CG7747380.1,C,26.37251499,25.65812936
GH8587040.2,B,23.8516951,24.36710683
HG7114160.4,B,26.39324611,25.32516059
NN2186760.3,A,25.58937349,23.52681193
NH1303190.4,B,15.89192615,14.46746984
QN4541530.1,A,33.06473042,31.72634053
CH9182060.4,C,25.88138969,24.19965811
QN9604280.3,B,31.92307527,31.6382881
HN2871010.2,C,24.34402448,22.04200923
GQ2805960.1,A,28.92373881,26.8950236
GC4808470.2,A,21.83858826,19.37444042
NG3515450.1,C,28.8802532,27.41951739
CC8050040.2,A,27.37406338,25.82110542
CC1351010.4,C,25.21457398,25.18543367
QN1703270.3,A,26.23086982,23.90543449
CQ5750310.3,C,23.40718357,23.06899876
HQ6388650.4,C,24.24567524,22.74169358
GN4341200.4,B,18.93952893,18.31449289
NQ2431630.1,C,22.41516972,22.93985371
GC3043300.2,C,30.19549021,28.71870017
GH9784020.4,C,20.58670334,19.88447605
CQ7717220.4,B,27.42960196,27.24791348
QN7100240.2,B,21.70840054,20.75142014
HQ2367500.2,C,31.65519086,31.22110117
NC3815980.3,A,23.39725858,21.62240769
HG7908340.2,B,31.3430109,29.87371191
HC3507620.4,A,18.6402467,15.91667223
CC6391730.4,A,23.11806757,20.95693671
NG5478420.3,A,28.42536779,27.28837671
NC7879760.1,A,22.14644766,23.40399701
CG3965050.4,C,26.00916417,24.23628708
NQ8720790.3,C,25.5235646,23.90529469
QN1139040.1,B,23.5125065,21.59340191
CC9690100.4,C,31.02304789,31.20423063
QG9267880.4,B,21.94079407,21.14779007
QN4519860.3,C,27.40919248,22.95602437
QQ1469930.3,B,29.37797809,27.79063956
GQ5860620.1,B,26.03660094,27.23638786
NN5574650.3,A,21.22299816,19.60607668
GQ7758310.3,C,19.61558132,17.29110679
CN7600140.1,B,24.78834442,22.22087755
HG7403470.3,B,19.64431583,19.04766273
QG1102680.1,A,22.32885626,20.51770851
HQ1305750.3,B,28.50008643,27.41198421
QQ7621670.4,B,28.5936982,25.67628363
QC8459430.2,A,35.98618424,34.2070336
HH9890510.1,A,27.0209229,26.12078786
QG8256410.2,A,23.20882794,22.85641119
NN8953570.4,B,25.66468371,25.29648696
CQ9516290.3,C,28.58992696,26.46750855
NH6547920.2,A,28.73458737,27.80934481
CG8702500.3,A,21.25509084,21.48486406
HQ5956660.4,A,25.58648822,25.05755774
HH9099550.2,C,21.59226742,19.42052188
QH4843770.2,B,20.98379815,19.2531791
QN8049330.2,C,22.33270724,21.83758832
CQ6129570.1,C,27.99735762,26.79584825
NH4481410.2,B,29.18221303,27.09788121
NC1162130.1,B,30.03844005,29.6738247
NC6867020.2,A,28.4044963,27.47083163
CQ8553910.4,B,20.67424261,18.7526963
QC7550390.4,C,23.43180037,21.43304098
NG3088120.1,C,22.40829934,22.48706303
QQ4043800.3,B,34.52748336,32.52302347
GG7412510.3,B,22.83566396,22.60983022
NN1080220.2,A,37.8183069,34.7405957
CH9651890.4,A,25.98754853,25.31185669
GN5307390.3,A,23.99258722,22.8331549
NG4488980.3,C,22.35559598,21.5500295
QC3281320.1,B,24.31062984,22.29953882
QC6152540.2,B,27.51172711,26.22023553
CQ4883700.3,B,22.99207745,20.34216848
CQ3205570.2,A,27.41473026,26.94778065
QN5865870.3,A,27.68991225,26.19621274
NC4796690.3,C,31.59375898,30.7583981
GH2832880.1,A,26.51612215,25.87040702
NH6207240.1,C,16.82212821,17.57279068
NN3201040.1,B,18.30998724,18.5839206
CQ9441370.2,C,23.25095349,22.90374805
CG9120800.4,A,24.10979079,24.0484108
CN4668870.4,B,29.49683498,27.94846133
NC8755060.2,B,23.45458898,21.46424043
QQ2473960.3,B,31.11087862,27.65080966
GH1345980.3,B,28.88595246,27.58904577
NQ9699040.1,C,29.4552074,26.45510106
NQ7041190.3,B,26.80718358,26.07493296
HN5093540.4,B,29.11628051,26.14909999
GC9533380.2,B,16.41494243,15.40104792
QN9185270.4,C,31.26219754,29.1474041
CN2504590.2,C,24.14043902,23.00564214
QC4430060.2,A,23.19934055,20.51692078
QC8747750.1,A,30.21194849,28.30096035
NQ8988350.4,B,24.03939673,23.3055235
QN4530050.2,C,24.40717112,24.39835271
CN9296980.2,A,28.24634834,24.9544145
QC6704360.4,B,32.32554713,28.6695521
GQ8386350.3,B,22.47781516,21.17100836
HH7518120.1,A,27.75671708,26.1045098
CC3476460.1,B,28.85620525,25.87598968
HN7294300.1,A,31.38258814,30.08657776
GC4050190.2,A,25.50990549,24.82433377
QQ7496390.4,A,32.74476041,30.54924993
QN8673500.1,B,28.67171041,27.16131101
HQ8622720.2,B,25.96624579,24.97085965
HC6623750.3,B,24.413252,23.7073765
QN5991550.3,C,35.26245253,34.21156759
QN6817960.3,B,25.59237585,25.47505674
HQ5755560.1,C,19.55481255,17.22314217
QH3802160.2,A,26.6126144,24.97884083
CC7857720.1,C,29.20190199,27.91826821
QN4590920.2,A,22.28731459,19.78143931
QN8020110.3,A,38.78419009,36.3263501
GQ9399530.2,B,23.11738864,22.58311542
QH7025560.4,C,24.82017178,24.31043994
NH4053550.4,C,31.90411813,32.0321535
HH5136060.1,A,27.35798872,25.75060314
GQ8576170.4,C,19.61520005,16.19972734
CH3598960.3,C,27.01044774,25.47536587
QH2524250.4,A,29.55815367,28.23753272
HC6693800.1,C,24.44675523,24.27457226
GG8270790.2,C,21.19477538,20.66574553
CC1082080.3,C,22.44892137,22.06518016
HQ6327700.1,B,28.08773412,27.10892987
GC8540720.4,A,18.69200644,17.84968541
QG5469810.3,B,28.36767159,25.70027099
HN9173920.2,A,23.8491537,21.89594168
NN4215870.1,A,27.12272033,26.77715304
GN7896890.4,B,29.027583,27.40879238
GG7863890.3,C,20.24545693,17.85738604
QN1520900.2,A,26.85588872,25.62821465
HC2559140.3,B,26.91340192,25.18534126
QN6729240.1,A,19.98830261,17.35688357
CN3720480.2,A,32.94744808,31.83937146
GH7062640.1,C,24.71388514,23.04580309
GH1836910.4,B,17.9137402,16.51016275
GQ1271760.1,C,22.97153517,21.31637
HN5037110.2,A,33.24903488,31.98334266
CH4873990.1,C,29.46417671,27.56541037
HC7344020.1,B,28.26156601,26.37452742
GN7081310.2,A,26.03093686,25.15996277
CG3176140.3,C,26.14436412,23.02099794
HQ8432900.2,A,25.17139587,23.99696289
HN6409960.4,B,24.28705081,22.71125304
QN5452360.4,C,18.21586579,15.17880428
QG3410550.2,A,26.56588885,25.99320834
NQ5081770.3,A,20.35129298,18.4433102
CQ5186460.2,A,22.65733881,21.54217303
GN2545580.2,C,26.70501026,26.03221923
GN1948740.1,A,19.41631117,15.54640708
HQ5908310.3,B,24.77186436,24.04177831
GN6765510.4,C,22.39580457,19.51832922
CQ4297170.3,A,27.54507943,25.77326057
GN7944450.3,C,30.52705119,26.42095396
QQ3363370.1,B,22.07870253,21.48684291
NH6956560.2,C,20.27133218,18.72470711
HG8863780.2,C,21.782279,21.14400423
NH9490930.2,C,28.75146326,28.57244701
NH4304970.4,A,21.5160823,18.8131455
HG8547950.3,A,24.23557401,22.81325251
CC2210830.4,C,23.10283359,23.23695882
HC6987020.1,C,19.87947152,20.08402096
CC5152520.4,A,30.71959394,27.75296057
CN2398850.4,B,20.28652144,21.17785425
CG4864240.3,A,22.31364454,23.44559459
NC6085540.4,A,24.8204936,23.93558995
HC8999910.3,A,26.84565888,25.26092644
GC6875530.1,B,24.48688444,22.85518102
QH5101210.4,C,29.7043671,28.094472
NN9527300.2,A,29.79072649,29.5286926
HG4713460.2,C,36.0952932,35.36034744
GH5139090.2,A,20.81265154,19.69260193
CQ9505710.2,C,21.22283348,18.86930163
HC6779580.2,A,27.8036261,25.53539317
GQ8181470.4,B,22.30604743,21.56880068
GH4424770.2,A,20.98157933,19.01622831
GH6947850.4,A,27.22329473,24.90832704
NH2297310.4,A,30.1544233,28.62705675
GC4295260.3,C,31.92317942,29.96138718
NH6202410.4,A,32.9912311,31.11140477
CG1167870.3,C,26.65823418,23.54826583
NC2325730.2,B,24.48127465,23.6345365
QN5390560.2,B,21.39297612,18.83181689
GN3893840.2,A,18.83882663,18.81049956
CN5890600.1,C,31.42013871,29.79539929
QC1047200.2,B,21.83784505,21.34252185
CG5651610.4,C,21.14137124,19.53589617
GQ8758620.2,A,24.11249554,21.3736278
HH7346640.2,B,35.36680779,34.74052618
QH3149180.4,A,26.81376665,26.82313792
CC6646820.2,A,23.01070234,19.23246563
QQ1982510.3,B,16.30310092,16.71669103
NC1095420.2,A,24.82557863,23.51507771
HG3170260.3,C,30.3681344,26.91878827
